ts,height,velocity,acceleration
29.679,5159.71826171875,38.54651641845703,-9.952561378479004
29.689,5160.09765625,38.44352340698242,-9.952561378479004
29.699,5160.47705078125,38.34114074707031,-9.952561378479004
29.709,5160.8642578125,38.2445068359375,-9.952561378479004
29.719,5161.24365234375,38.14323806762695,-9.952561378479004
29.729,5161.62255859375,38.04255676269531,-9.952561378479004
29.739,5161.9990234375,37.9407844543457,-9.952561378479004
29.749,5162.36767578125,37.83444595336914,-9.952561378479004
29.759,5162.73095703125,37.725337982177734,-9.952561378479004
29.769,5163.0947265625,37.61699295043945,-9.952561378479004
29.779,5163.4501953125,37.50435256958008,-9.933513641357422
29.789,5163.80615234375,37.39259338378906,-9.933513641357422
29.799,5164.15673828125,37.27815246582031,-9.933513641357422
29.809,5164.52880859375,37.178932189941406,-9.933513641357422
29.819,5164.9091796875,37.08580780029297,-9.933513641357422
29.829,5165.2822265625,36.987945556640625,-9.933513641357422
29.839,5165.64990234375,36.88720703125,-9.933513641357422
29.849,5166.0146484375,36.78553771972656,-9.923989295959473
29.859,5166.376953125,36.68280792236328,-9.933513641357422
29.869,5166.7314453125,36.57557678222656,-9.923989295959473
29.879,5167.078125,36.463809967041016,-9.923989295959473
29.889,5167.46044921875,36.37690353393555,-9.923989295959473
29.899,5167.8349609375,36.28513717651367,-9.923989295959473
29.909,5168.2041015625,36.19042205810547,-9.923989295959473
29.919,5168.56494140625,36.09097671508789,-9.923989295959473
29.929,5168.92333984375,35.990562438964844,-9.923989295959473
29.939,5169.2744140625,35.88550567626953,-9.923989295959473
29.949,5169.623046875,35.779720306396484,-9.914464950561523
29.959,5169.9638671875,35.66936111450195,-9.914464950561523
29.969,5170.29736328125,35.55449295043945,-9.914464950561523
29.979,5170.63134765625,35.44081497192383,-9.914464950561523
29.989,5170.95751953125,35.322662353515625,-9.914464950561523
29.999,5171.3037109375,35.21920394897461,-9.914464950561523
30.009,5171.6533203125,35.11886978149414,-9.904940605163574
30.019,5171.998046875,35.01567459106445,-9.914464950561523
30.029,5172.337890625,34.90989303588867,-9.904940605163574
30.039,5172.66748046875,34.79745101928711,-9.914464950561523
30.049,5172.9921875,34.68256378173828,-9.904940605163574
30.059,5173.32861328125,34.576839447021484,-9.904940605163574
30.069,5173.66064453125,34.46845245361328,-9.904940605163574
30.079,5173.99365234375,34.36140060424805,-9.904940605163574
30.089,5174.3271484375,34.25567626953125,-9.904940605163574
30.099,5174.66162109375,34.15128707885742,-9.904940605163574
30.109,5174.99951171875,34.05021286010742,-9.904940605163574
30.119,5175.33837890625,33.950538635253906,-9.895416259765625
30.129,5175.67822265625,33.85215759277344,-9.895416259765625
30.139,5176.015625,33.75302505493164,-9.895416259765625
30.149,5176.35986328125,33.659271240234375,-9.895416259765625
30.159,5176.6962890625,33.560787200927734,-9.885891914367676
30.169,5177.03076171875,33.46158981323242,-9.885891914367676
30.179,5177.357421875,33.3576545715332,-9.885891914367676
30.189,5177.69384765625,33.26134490966797,-9.885891914367676
30.199,5178.04296875,33.17460250854492,-9.885891914367676
30.209,5178.38671875,33.08494186401367,-9.885891914367676
30.219,5178.72607421875,32.992431640625,-9.885891914367676
30.229,5179.06640625,32.901268005371094,-9.885891914367676
30.239,5179.40185546875,32.807315826416016,-9.885891914367676
30.249,5179.732421875,32.71059799194336,-9.885891914367676
30.259,5180.05517578125,32.60908889770508,-9.885891914367676
30.269,5180.37353515625,32.50495910644531,-9.885891914367676
30.279,5180.6875,32.39818572998047,-9.895416259765625
30.289,5181.0146484375,32.30165100097656,-9.885891914367676
30.299,5181.33984375,32.204654693603516,-9.876367568969727
30.309,5181.6572265625,32.10276412963867,-9.885891914367676
30.319,5181.97265625,32.00050735473633,-9.876367568969727
30.329,5182.30126953125,31.908531188964844,-9.876367568969727
30.339,5182.6220703125,31.811763763427734,-9.866843223571777
30.349,5182.95068359375,31.720895767211914,-9.876367568969727
30.359,5183.2802734375,31.631610870361328,-9.876367568969727
30.369,5183.6142578125,31.546052932739258,-9.876367568969727
30.379,5183.9609375,31.47068977355957,-9.876367568969727
30.389,5184.2998046875,31.390111923217773,-9.876367568969727
30.399,5184.630859375,31.304433822631836,-9.876367568969727
30.409,5184.96630859375,31.222545623779297,-9.876367568969727
30.419,5185.29345703125,31.135581970214844,-9.876367568969727
30.429,5185.61376953125,31.0434513092041,-9.895416259765625
30.439,5185.92919921875,30.948820114135742,-9.876367568969727
30.449,5186.2490234375,30.858009338378906,-9.895416259765625
30.459,5186.5615234375,30.762285232543945,-9.895416259765625
30.469,5186.86962890625,30.663990020751953,-9.895416259765625
30.479,5187.17333984375,30.563129425048828,-9.895416259765625
30.489,5187.49951171875,30.48003578186035,-9.895416259765625
30.499,5187.81787109375,30.391780853271484,-9.904940605163574
30.509,5188.1318359375,30.300811767578125,-9.904940605163574
30.519,5188.4384765625,30.205005645751953,-9.895416259765625
30.529,5188.73779296875,30.104360580444336,-9.895416259765625
30.539,5189.02734375,29.99667739868164,-9.895416259765625
30.549,5189.318359375,29.89124298095703,-9.895416259765625
30.559,5189.6142578125,29.790332794189453,-9.895416259765625
30.569,5189.90283203125,29.684654235839844,-9.895416259765625
30.579,5190.1845703125,29.574283599853516,-9.895416259765625
30.589,5190.47119140625,29.468671798706055,-9.895416259765625
30.599,5190.75390625,29.36078453063965,-9.885891914367676
30.609,5191.04736328125,29.26239013671875,-9.885891914367676
30.619,5191.3427734375,29.16632652282715,-9.885891914367676
30.629,5191.64013671875,29.072528839111328,-9.885891914367676
30.639,5191.93017578125,28.97382354736328,-9.885891914367676
30.649,5192.21337890625,28.870391845703125,-9.876367568969727
30.659,5192.5048828125,28.77420425415039,-9.876367568969727
30.669,5192.7919921875,28.675579071044922,-9.876367568969727
30.679,5193.0751953125,28.574256896972656,-9.904940605163574
30.689,5193.3515625,28.468141555786133,-9.904940605163574
30.699,5193.6298828125,28.364723205566406,-9.895416259765625
30.709,5193.90771484375,28.261478424072266,-9.895416259765625
30.719,5194.17822265625,28.15336799621582,-9.904940605163574
30.729,5194.44189453125,28.040660858154297,-9.895416259765625
30.739,5194.70458984375,27.928335189819336,-9.895416259765625
30.749,5194.9609375,27.811384201049805,-9.895416259765625
30.759,5195.21337890625,27.69245719909668,-9.885891914367676
30.769,5195.484375,27.5892391204834,-9.885891914367676
30.779,5195.74853515625,27.481229782104492,-9.885891914367676
