ts,latitude,longitude,satellites
104.199,39.38187789916992,-8.290133476257324,10
104.399,39.388763427734375,-8.276861190795898,10
104.599,39.388763427734375,-8.276871681213379,10
104.999,39.388763427734375,-8.276871681213379,12
105.199,39.388763427734375,-8.276871681213379,12
105.599,39.38875961303711,-8.276904106140137,12
106.399,39.38876724243164,-8.276909828186035,12
107.599,39.3887825012207,-8.276911735534668,12
108.399,39.38880157470703,-8.276915550231934,12
110.399,39.38884353637695,-8.276937484741211,12
111.599,39.38886642456055,-8.276933670043945,12
112.399,39.388893127441406,-8.276935577392578,12
113.599,39.388916015625,-8.276915550231934,12
114.399,39.38893508911133,-8.27690601348877,12
116.399,39.38893508911133,-8.27690601348877,12
116.599,39.38895034790039,-8.276859283447266,12
117.599,39.388954162597656,-8.276849746704102,12
118.399,39.388973236083984,-8.276841163635254,12
119.599,39.388973236083984,-8.276860237121582,12
120.499,39.38897705078125,-8.276854515075684,12
121.599,39.38896560668945,-8.276869773864746,12
124.499,39.38893508911133,-8.27687931060791,12
124.599,39.38893127441406,-8.276881217956543,12
124.799,39.38893127441406,-8.276881217956543,8
124.999,39.38893127441406,-8.276881217956543,8
125.199,39.38893127441406,-8.276881217956543,12
125.399,39.38893127441406,-8.276881217956543,10
125.599,39.38892364501953,-8.27688980102539,10
126.199,39.38892364501953,-8.27688980102539,11
126.399,39.38892364501953,-8.27688980102539,11
126.499,39.388919830322266,-8.27688980102539,11
126.599,39.388919830322266,-8.276897430419922,11
127.599,39.388912200927734,-8.276888847351074,11
128.499,39.388893127441406,-8.27689266204834,11
129.599,39.38889694213867,-8.276902198791504,11
130.499,39.388893127441406,-8.27691650390625,11
131.599,39.388893127441406,-8.276932716369629,11
132.499,39.38889694213867,-8.276949882507324,11
133.599,39.38890075683594,-8.276968955993652,11
134.499,39.38890838623047,-8.27698802947998,11
135.599,39.388912200927734,-8.277016639709473,11
136.499,39.388916015625,-8.277042388916016,11
138.499,39.3889274597168,-8.277105331420898,11
139.599,39.3889274597168,-8.277144432067871,11
140.499,39.38893127441406,-8.277169227600098,11
141.599,39.38893127441406,-8.27721118927002,11
142.499,39.3889274597168,-8.277236938476562,11
143.599,39.388919830322266,-8.277280807495117,11
144.499,39.3889045715332,-8.277301788330078,11
145.599,39.388893127441406,-8.277339935302734,11
147.599,39.388858795166016,-8.277385711669922,11
147.699,39.388858795166016,-8.277389526367188,11
148.499,39.38884735107422,-8.277409553527832,11
149.599,39.388824462890625,-8.277435302734375,11
149.699,39.38882064819336,-8.277440071105957,11
150.499,39.3888053894043,-8.277461051940918,11
151.599,39.38877868652344,-8.277506828308105,11
152.499,39.388763427734375,-8.27752685546875,11
153.599,39.38872146606445,-8.277567863464355,11
154.499,39.388710021972656,-8.277591705322266,11
154.799,39.388710021972656,-8.277591705322266,193
154.999,39.388710021972656,-8.277591705322266,193
155.599,39.38866424560547,-8.277647018432617,193
156.499,39.38865661621094,-8.277668952941895,193
157.599,39.38861846923828,-8.277728080749512,193
158.499,39.388607025146484,-8.277756690979004,193
159.599,39.38857650756836,-8.277795791625977,193
160.499,39.3885612487793,-8.277830123901367,193
161.599,39.38854217529297,-8.277871131896973,193
162.499,39.388526916503906,-8.277892112731934,193
163.699,39.388511657714844,-8.27792739868164,193
164.499,39.38849639892578,-8.277933120727539,193
165.699,39.38847351074219,-8.27795696258545,193
166.499,39.388465881347656,-8.277994155883789,193
167.599,39.388458251953125,-8.278039932250977,193
167.699,39.388458251953125,-8.278054237365723,193
169.599,39.388431549072266,-8.278130531311035,193
170.499,39.388427734375,-8.278158187866211,193
171.599,39.38841247558594,-8.278186798095703,193
173.599,39.38839340209961,-8.278278350830078,193
175.599,39.388389587402344,-8.278355598449707,193
177.599,39.38837432861328,-8.278425216674805,193
179.599,39.388362884521484,-8.278512954711914,193
181.599,39.38835144042969,-8.278603553771973,193
183.599,39.38833999633789,-8.278696060180664,193
183.699,39.388336181640625,-8.278702735900879,193
185.599,39.38832473754883,-8.278800964355469,193
187.599,39.3883056640625,-8.278900146484375,193
188.799,39.3883056640625,-8.278900146484375,8
188.999,39.3883056640625,-8.278900146484375,8
189.199,39.3883056640625,-8.278900146484375,7
189.399,39.3883056640625,-8.278900146484375,10
189.599,39.38827896118164,-8.279025077819824,10
189.799,39.38827896118164,-8.279025077819824,10
189.999,39.38827896118164,-8.279025077819824,10
190.199,39.38827896118164,-8.279025077819824,9
190.399,39.38827896118164,-8.279025077819824,9
190.799,39.38827896118164,-8.279025077819824,6
190.999,39.38827896118164,-8.279025077819824,6
191.199,39.38827896118164,-8.279025077819824,10
191.399,39.38827896118164,-8.279025077819824,10
191.599,39.38824462890625,-8.27910041809082,10
191.799,39.38824462890625,-8.27910041809082,8
191.999,39.38824462890625,-8.27910041809082,8
192.199,39.38824462890625,-8.27910041809082,7
192.799,39.38824462890625,-8.27910041809082,7
192.999,39.38824462890625,-8.27910041809082,7
193.199,39.38824462890625,-8.27910041809082,9
193.399,39.38824462890625,-8.27910041809082,9
193.599,39.38822937011719,-8.279205322265625,10
193.799,39.38822937011719,-8.279205322265625,8
193.999,39.38822937011719,-8.279205322265625,8
194.199,39.38822937011719,-8.279205322265625,9
194.399,39.38822937011719,-8.279205322265625,8
194.799,39.38822937011719,-8.279205322265625,9
194.999,39.38822937011719,-8.279205322265625,9
195.199,39.38822937011719,-8.279205322265625,10
195.399,39.38822937011719,-8.279205322265625,11
195.599,39.388214111328125,-8.279288291931152,10
195.999,39.388214111328125,-8.279288291931152,11
196.199,39.388214111328125,-8.279288291931152,11
196.399,39.388214111328125,-8.279288291931152,10
196.799,39.388214111328125,-8.279288291931152,11
196.999,39.388214111328125,-8.279288291931152,11
197.199,39.388214111328125,-8.279288291931152,10
197.399,39.388214111328125,-8.279288291931152,12
197.599,39.388187408447266,-8.279376029968262,12
199.599,39.38816833496094,-8.279452323913574,12
200.699,39.38817596435547,-8.279529571533203,12
201.599,39.388160705566406,-8.279566764831543,12
203.599,39.38813400268555,-8.279645919799805,12
205.599,39.38810348510742,-8.279725074768066,12
207.699,39.38807678222656,-8.279791831970215,12
208.699,39.388084411621094,-8.279826164245605,12
209.599,39.38808059692383,-8.279867172241211,12
212.799,39.38808059692383,-8.279867172241211,11
212.999,39.38808059692383,-8.279867172241211,11
213.199,39.38808059692383,-8.279867172241211,12
213.399,39.38808059692383,-8.279867172241211,12
213.599,39.388065338134766,-8.280009269714355,12
214.199,39.388065338134766,-8.280009269714355,10
214.399,39.388065338134766,-8.280009269714355,10
214.699,39.38804244995117,-8.28001594543457,10
214.799,39.38804244995117,-8.28001594543457,11
214.999,39.38804244995117,-8.28001594543457,11
215.199,39.38804244995117,-8.28001594543457,10
215.399,39.38804244995117,-8.28001594543457,11
215.599,39.38801574707031,-8.280045509338379,12
216.599,39.38801193237305,-8.280052185058594,12
216.999,39.387996673583984,-8.280057907104492,12
217.099,39.387996673583984,-8.280057907104492,12
217.599,39.38798904418945,-8.280069351196289,12
219.599,39.38795852661133,-8.280078887939453,12
221.599,39.38792419433594,-8.28010368347168,12
222.799,39.38792419433594,-8.28010368347168,11
222.999,39.38792419433594,-8.28010368347168,11
223.199,39.38792419433594,-8.28010368347168,12
223.599,39.387908935546875,-8.280130386352539,12
225.599,39.38788986206055,-8.280156135559082,12
227.599,39.38785934448242,-8.280173301696777,12
229.599,39.387840270996094,-8.280206680297852,12
231.599,39.3878173828125,-8.280242919921875,12
233.599,39.3878059387207,-8.280269622802734,12
235.599,39.38779067993164,-8.28030014038086,12
237.599,39.38777160644531,-8.280336380004883,12
239.599,39.38775634765625,-8.280387878417969,12
241.599,39.38774871826172,-8.280445098876953,12
243.599,39.38774490356445,-8.280503273010254,12
