Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
15.10,2588.794,621.60,113.4727,32, -,3.811746
15.15,2593.738,621.20,112.3551,32, -,3.811746
15.20,2598.686,620.80,111.252,32, -,3.811746
15.25,2604.874,620.30,111.3246,32, -,3.811746
15.30,2609.827,619.90,111.3826,32, -,3.811746
15.35,2614.783,619.50,110.265,32, -,3.811746
15.40,2619.742,619.10,109.1474,32, -,3.811746
15.45,2625.944,618.60,109.22,32, -,3.811746
15.50,2629.667,618.30,108.0879,32, -,3.811746
15.55,2635.875,617.80,108.1459,32, -,3.811746
15.60,2640.844,617.40,107.0283,32, -,3.811746
15.65,2645.817,617.00,107.0864,32, -,3.811746
15.70,2650.792,616.60,105.9688,32, -,3.811746
15.75,2655.769,616.20,106.0269,32, -,3.811746
15.80,2660.75,615.80,104.9093,32, -,3.811746
15.85,2665.732,615.40,104.9673,32, -,3.811746
15.90,2670.717,615.00,105.0254,32, -,3.811746
15.95,2675.706,614.60,103.9078,32, -,3.811746
16.00,2680.695,614.20,102.7757,32, -,3.811746
16.05,2685.689,613.80,102.8337,32, -,3.811746
16.10,2690.684,613.40,101.7161,32, -,3.811746
16.15,2695.683,613.00,101.7742,32, -,3.811746
16.20,2699.433,612.70,100.6421,32, -,3.811746
16.25,2704.437,612.30,100.6856,32, -,3.811746
16.30,2709.442,611.90,99.55348,32, -,3.811746
16.35,2714.451,611.50,99.61153,32, -,3.811746
16.40,2718.209,611.20,98.47943,32, -,3.811746
16.45,2723.222,610.80,98.53748,32, -,3.811746
16.50,2728.237,610.40,97.40537,32, -,3.811746
16.55,2733.256,610.00,98.63908,32, -,3.831194
16.60,2737.021,609.70,96.3168,32, -,3.831194
16.65,2742.044,609.30,96.37486,32, -,3.831194
16.70,2745.813,609.00,95.22822,32, -,3.831194
16.75,2750.841,608.60,95.28629,32, -,3.831194
16.80,2754.614,608.30,94.13966,32, -,3.831194
16.85,2759.646,607.90,94.1832,32, -,3.831194
16.90,2763.422,607.60,93.03657,32, -,3.831194
