T,Alt,Veloc,Filt_Alt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,falt_m
11250,7448,1080,7336.08,559.59,0,0,0,0,0,0,2236.037184
11300,7480,640,7364.86,575.67,0,0,0,0,0,0,2244.809328
11350,7488,160,7389.49,492.54,0,0,0,0,0,0,2252.316552
11400,7468,-400,7405.19,314.03,0,0,0,0,0,0,2257.101912
11450,7536,1360,7431.35,523.22,0,0,0,0,0,0,2265.07548
11500,7594,1160,7463.88,650.59,0,0,0,0,0,0,2274.990624
11550,7604,200,7491.91,560.47,0,0,0,0,0,0,2283.534168
11600,7642,760,7521.93,600.37,0,0,0,0,0,0,2292.684264
11650,7618,-480,7541.14,384.3,0,0,0,0,0,0,2298.539472
11700,7654,720,7563.71,451.44,0,0,0,0,0,0,2305.418808
11750,7636,-360,7578.17,289.15,0,0,0,0,0,0,2309.826216
11800,7722,1720,7606.94,575.32,0,0,0,0,0,0,2318.595312
11850,7726,80,7630.75,476.26,0,0,0,0,0,0,2325.8526
11900,7758,640,7656.2,509,0,0,0,0,0,0,2333.60976
11950,7790,640,7682.96,535.21,0,0,0,0,0,0,2341.766208
12000,7796,120,7705.57,452.16,0,0,0,0,0,0,2348.657736
12050,7852,1120,7734.85,585.73,0,0,0,0,0,0,2357.58228
12100,7830,-440,7753.88,380.59,0,0,0,0,0,0,2363.382624
12150,7886,1120,7780.31,528.47,0,0,0,0,0,0,2371.438488
12200,7892,120,7802.65,446.78,0,0,0,0,0,0,2378.24772
12250,7908,320,7823.72,421.42,0,0,0,0,0,0,2384.669856
12300,7936,560,7846.17,449.13,0,0,0,0,0,0,2391.512616
12350,7942,120,7865.34,383.31,0,0,0,0,0,0,2397.355632
12400,7958,320,7883.87,370.64,0,0,0,0,0,0,2403.003576
12450,7968,200,7900.7,336.51,0,0,0,0,0,0,2408.13336
12500,8018,1000,7924.16,469.22,0,0,0,0,0,0,2415.283968
12550,7998,-400,7938.93,295.37,0,0,0,0,0,0,2419.785864
12600,8054,1120,7961.94,460.29,0,0,0,0,0,0,2426.799312
12650,8110,1120,7991.55,592.24,0,0,0,0,0,0,2435.82444
12700,8134,480,8020.04,569.79,0,0,0,0,0,0,2444.508192
12750,8140,120,8044.03,479.83,0,0,0,0,0,0,2451.820344
12800,8206,1320,8076.43,647.86,0,0,0,0,0,0,2461.695864
12850,8150,-1120,8091.14,294.3,0,0,0,0,0,0,2466.179472
12900,8164,280,8105.71,291.44,0,0,0,0,0,0,2470.620408
12950,8176,240,8119.77,281.14,0,0,0,0,0,0,2474.905896
13000,8236,1200,8143.02,464.92,0,0,0,0,0,0,2481.992496
13050,8240,80,8162.41,387.93,0,0,0,0,0,0,2487.902568
13100,8252,240,8180.33,358.35,0,0,0,0,0,0,2493.364584
13150,8258,120,8195.86,310.67,0,0,0,0,0,0,2498.098128
13200,8310,1040,8218.69,456.54,0,0,0,0,0,0,2505.056712
13250,8338,560,8242.55,477.23,0,0,0,0,0,0,2512.32924
13300,8354,320,8264.84,445.78,0,0,0,0,0,0,2519.123232
13350,8340,-280,8279.87,300.63,0,0,0,0,0,0,2523.704376
13400,8398,1160,8303.5,472.5,0,0,0,0,0,0,2530.9068
13450,8384,-280,8319.6,322.01,0,0,0,0,0,0,2535.81408
13500,8392,160,8334.08,289.61,0,0,0,0,0,0,2540.227584
13550,8442,1000,8355.66,431.68,0,0,0,0,0,0,2546.805168
13600,8434,-160,8371.33,313.34,0,0,0,0,0,0,2551.581384
13650,8426,-160,8382.26,218.67,0,0,0,0,0,0,2554.912848
13700,8498,1440,8405.41,462.95,0,0,0,0,0,0,2561.968968
13750,8548,1000,8433.93,570.35,0,0,0,0,0,0,2570.661864
13800,8530,-360,8453.14,384.28,0,0,0,0,0,0,2576.517072
13850,8508,-440,8464.11,219.43,0,0,0,0,0,0,2579.860728
13900,8542,680,8479.69,311.54,0,0,0,0,0,0,2584.609512
13950,8550,160,8493.75,281.23,0,0,0,0,0,0,2588.895
14000,8604,1080,8515.8,441,0,0,0,0,0,0,2595.61584
14050,8614,200,8535.44,392.79,0,0,0,0,0,0,2601.602112
14100,8624,200,8553.15,354.24,0,0,0,0,0,0,2607.00012
14150,8646,440,8571.72,371.39,0,0,0,0,0,0,2612.660256
14200,8654,160,8588.18,329.1,0,0,0,0,0,0,2617.677264
14250,8664,200,8603.34,303.28,0,0,0,0,0,0,2622.298032
14300,8716,1040,8625.87,450.63,0,0,0,0,0,0,2629.165176
14350,8764,960,8653.5,552.5,0,0,0,0,0,0,2637.5868
14400,8714,-1000,8665.6,242.01,0,0,0,0,0,0,2641.27488
14450,8762,960,8684.88,385.61,0,0,0,0,0,0,2647.151424
14500,8780,360,8703.9,380.49,0,0,0,0,0,0,2652.94872
14550,8758,-440,8714.72,216.39,0,0,0,0,0,0,2656.246656
14600,8828,1400,8737.38,453.11,0,0,0,0,0,0,2663.153424
14650,8774,-1080,8744.7,146.48,0,0,0,0,0,0,2665.38456
14700,8822,960,8760.16,309.18,0,0,0,0,0,0,2670.096768
14750,8856,680,8779.33,383.36,0,0,0,0,0,0,2675.939784
14800,8894,760,8802.26,458.67,0,0,0,0,0,0,2682.928848
14850,8950,1120,8831.81,590.94,0,0,0,0,0,0,2691.935688
14900,8950,0,8855.45,472.75,0,0,0,0,0,0,2699.14116
14950,8976,520,8879.56,482.21,0,0,0,0,0,0,2706.489888
15000,8972,-80,8898.05,369.77,0,0,0,0,0,0,2712.12564
15050,8942,-600,8906.84,175.82,0,0,0,0,0,0,2714.804832
15100,8968,520,8919.07,244.65,0,0,0,0,0,0,2718.532536
